number,user,restaurant_names,positions
50,qnXgtXUvHRn0L0_8SirnWw,"lycfBKtcR7keDQQOeMMsoA, VEy3-SnvsKgWfGM_b2irbA, x44o1_Dw4QsQZRtBJgwZaA, vZiWYH4XIiy3fqPNy615Kg, 6LgTc7CZlXCd1Pxq3BiVcw, YkVRDcEa7vZK65u-tlL9tQ, 9R5laAm5Kv4aBLVtH1gVnA, BYwoAKKtdSeylSN7QV8oNw, 5LMkTnMXOxlce_LwUNhpCQ, ib_206uhcdzV7lNcCpniXA","930, 417, 39, 443, 681, 373, 575, 950, 829, 656"
51,dBBQLSNK3xyowDow3wSQLg,"VZcs1K7A31sNQurNXs9gaQ, 9R5laAm5Kv4aBLVtH1gVnA, jLcBOqa-UT6qugFgZqjNvA, CTYFfHq1SWFyCeJ-KyIgOQ, rbWy2FCc_ABGSt8AzaDieg, 3vr42-TF3V31LrN5sAFbDQ, SPCdv--a6cnorGitNtbDIg, _HMiq7vSET4uhNScBdOJnw, lycfBKtcR7keDQQOeMMsoA, XuxzGu2PEr59drHseZOVCg","643, 575, 84, 425, 619, 699, 360, 615, 930, 618"
52,69BnQt-ykPsqriePrJKIqw,"7LFdimtQU3yrgiKyE53klQ, BYwoAKKtdSeylSN7QV8oNw, vVqxGrqt5ALxQjJGnntpKQ, _HMiq7vSET4uhNScBdOJnw, KPrdWch1680ihzVe3C-s3w, _7nMWBmfFvk9S3tKG3Ip_g, EJNkmXMDWurCPjOZe_WXAg, Ku333V1F3_9MVKUJ72_ZBw, ib_206uhcdzV7lNcCpniXA, YkVRDcEa7vZK65u-tlL9tQ","745, 950, 167, 615, 670, 141, 613, 795, 656, 373"
53,w-hrD3-YJXbDUlvBwrpWtA,"vVqxGrqt5ALxQjJGnntpKQ, J9rMt_V1NX49rU3YUjh_7Q, tz8VEeIOoM5Cu1NSnC2JIQ, fY1IkBnRft1KR0O2tqu7pg, sxQdEEfKRviWRymOoH9UiA, BYwoAKKtdSeylSN7QV8oNw, at7wfECnjgIJi5o7gL8fyQ, Rl318hUrGlkPJhMmNNZizQ, MPzZuWpKpeLBa833zzL9IQ, x44o1_Dw4QsQZRtBJgwZaA","167, 758, 846, 914, 945, 950, 612, 82, 488, 39"
54,52R6YBCMU0yycOHKcnTXhA,"T7ekp7FiffoWDq53hbZDhg, tDGDMePyQvBBn416-1SEMA, Rwzp59f3Ia-v2V8Ku0zZWQ, _HMiq7vSET4uhNScBdOJnw, ko4q1Oj4iWvYSxoamlcEgw, YkVRDcEa7vZK65u-tlL9tQ, BYwoAKKtdSeylSN7QV8oNw, MuaIn9h_YOAmZxHxtQXAAw, Pv0P0vYFIOlMPPfn18Wc7Q, J3ijSN86u_Pg42BZjkDM_g","123, 395, 599, 615, 698, 373, 950, 953, 349, 343"
55,Wcg633L8ajHPuLeb0AiCqg,"KX5KY8fLlMoJMS1NAj0Pvw, 9R5laAm5Kv4aBLVtH1gVnA, AQEEH7JP1DFrvFuMi6TP2Q, qs6gA9Y5sRzpXnm_4QaP0Q, fZ0-lttPgjycJi9oYs_uag, J9rMt_V1NX49rU3YUjh_7Q, vVqxGrqt5ALxQjJGnntpKQ, sxQdEEfKRviWRymOoH9UiA, I1wArJIYbFl2txUL6unC6A, jLcBOqa-UT6qugFgZqjNvA","388, 575, 669, 127, 616, 758, 167, 945, 907, 84"
56,6FFuvWqU2jyr7_Y7sdTsvg,"2JFWJDNeLZN3dbTXs8kNMQ, U3i7AaegudvpmDL23_wEmQ, OExxlOVjUIDh3TFjPzbSDA, kDlakqhueliPOad3CDNE_A, I1wArJIYbFl2txUL6unC6A, kreVrwY9zqfQVFbF-CP_Gg, BYwoAKKtdSeylSN7QV8oNw, wyDfBs1tYSIiBO7HCPKNTg, PFJ8q-KldY-GG6cI1IhNUQ, KX5KY8fLlMoJMS1NAj0Pvw","439, 928, 226, 436, 907, 834, 950, 535, 396, 388"
57,ARHlG11NVB69dZ0Ky3HmXg,"PiHPVBDkXTXaJtrrnJt9QQ, NSjzCmaZGZAOe6i9l1lj9g, c7Ri-jVC0lvZbJtSPIsSEw, 8F-sFWDWTnJlZz4SOum5aA, 4Xm4LZQjoavYm0Yjs1QgsQ, CdAmgWWCabZQoYNNWOKcEw, ALNmvpU7JN_tOCD653vVWA, dFYfZsc-SUwRpDEgJiIoXA, qe77WcyskZYSyuoYLORL9g, a64A0FM3W3D1tf9sa8gyCg","574, 897, 764, 696, 965, 664, 659, 381, 87, 337"
58,j21GdRmmPI2vzVVxaYpKbg,"7LFdimtQU3yrgiKyE53klQ, EOVqWdn7Gjs6HW_W4lollQ, x44o1_Dw4QsQZRtBJgwZaA, vVqxGrqt5ALxQjJGnntpKQ, IC15vAUX4EiMlWxxMehohw, uQu5DtnXZZ8XVfBKldKnag, P-X4kr5pDqXzhPEfa6RsTQ, lJ5YkS5fxC8dcSK4FPtyYQ, Rwzp59f3Ia-v2V8Ku0zZWQ, I1wArJIYbFl2txUL6unC6A","745, 53, 39, 167, 329, 178, 241, 551, 599, 907"
59,BxXEXnFX8xeG7Y56-XXHZg,"ZhJ59SFPifQiTW0gAddfGw, fqhahiKsc6gPs5Sx4mf9Vg, fY1IkBnRft1KR0O2tqu7pg, hinGqQYvot8HtRYxSdr6FA, NbQH02mMYJ4r1RqvG2FDBA, MqdAYfl1p_c1144i48k6jw, aYdHn3OiBekxS3MUXIc59Q, U3i7AaegudvpmDL23_wEmQ, xAJfM-dMPOHFH35Adgi10w, g_oK5K039p7OVy43FSg-ug","694, 918, 914, 99, 872, 207, 854, 928, 641, 949"
60,I9wjC0MrCfMbnXYwYvXCDw,"CHSOxwAtWXl4I2kvBT-sng, NbQH02mMYJ4r1RqvG2FDBA, bjL1PC2e9dvjBVewmoXYwQ, CdAmgWWCabZQoYNNWOKcEw, ahlZC7XOKN-XJ7P4sPZrRg, YnnYwfMEeSru_cJ_qKeofw, ZhJ59SFPifQiTW0gAddfGw, imXbGrnZLLmuBCdor4LjTA, tq03doSUN1Hpd2zmNAMRCQ, UPRFpMsB4I64GRjUqjRmiw","851, 872, 524, 664, 937, 588, 694, 268, 876, 879"
61,J8mFTJfBBBaShBX1WV30hA,"x44o1_Dw4QsQZRtBJgwZaA, T7ekp7FiffoWDq53hbZDhg, tDGDMePyQvBBn416-1SEMA, d3vB2tlgTEapMU_kGiXRoQ, 7LFdimtQU3yrgiKyE53klQ, rAmZbbHYehHOS4p4rkYWmg, EOVqWdn7Gjs6HW_W4lollQ, 0W5UWAcjwGuCJOv8rXGMqw, LFknVw6uTIaL-MY_RqkN7g, ahlZC7XOKN-XJ7P4sPZrRg","39, 123, 395, 594, 745, 476, 53, 647, 707, 937"
62,SlOendilVJwP8GhRoxJX_w,"lnC_BiucMb6YJjm392nwAQ, 5RFNZZvtfF9uHVSUeYwzbQ, DbvK2HkM-wxbEQxlmczAlQ, vB_TQ2wQHloXS4qyu47AqQ, PiHPVBDkXTXaJtrrnJt9QQ, x44o1_Dw4QsQZRtBJgwZaA, ADtSvzL_abKwWPM1EL2yJw, _7nMWBmfFvk9S3tKG3Ip_g, 71aipxvzUEEAd245w61o7A, o1_iIC0rU2yuF3SZvf6IjA","843, 89, 841, 771, 574, 39, 410, 141, 951, 888"
63,4m1PPtF587WIZTBlT6xh6A,"ahlZC7XOKN-XJ7P4sPZrRg, txwpCDw5Utu9WbM0VtYJqg, ko4q1Oj4iWvYSxoamlcEgw, dUUJ2-v8Vltv4FkUB55bog, -WRbjOIgvQQ3jlJnvKUBNA, OLP_CJcooPYzXPlNGPPTXQ, O79uzVop5yqobf3bdjZzQg, J3ijSN86u_Pg42BZjkDM_g, rAmZbbHYehHOS4p4rkYWmg, pAOYo3ZahSkdHTVPPGtGfQ","937, 505, 698, 614, 283, 555, 580, 343, 476, 339"
64,4Uf6g20S-2ZcxJSuvVIjJg,"J9rMt_V1NX49rU3YUjh_7Q, txwpCDw5Utu9WbM0VtYJqg, vVqxGrqt5ALxQjJGnntpKQ, cEX4Cw8q2ftBrbpCvInf0w, fY1IkBnRft1KR0O2tqu7pg, CdAmgWWCabZQoYNNWOKcEw, 6LgTc7CZlXCd1Pxq3BiVcw, bjL1PC2e9dvjBVewmoXYwQ, DDd3TW3lDvQduqmw-UkrUg, M-PobdAR2gJhPyLR_WzMCQ","758, 505, 167, 446, 914, 664, 681, 524, 961, 253"
65,CZQUtmO5NIY-bZWkCqHeJg,"GGMka0ITgk7w_YUHUo8gqg, lJ5YkS5fxC8dcSK4FPtyYQ, uq9uIKV-lxn1bvLxkQaAow, XuxzGu2PEr59drHseZOVCg, fZ0-lttPgjycJi9oYs_uag, EECw-s6Jy-fyJHhkUGQhHg, LFknVw6uTIaL-MY_RqkN7g, qrXp3u2-nWkor07Vvctz9w, cEX4Cw8q2ftBrbpCvInf0w, 71aipxvzUEEAd245w61o7A","259, 551, 690, 618, 616, 642, 707, 203, 446, 951"
66,KGDeSGEyQ_W3YSBs-X--Jg,"xdCYUyNhjRkKPR3lzcf9_g, 4ZOXsBhHx2EzrTwACILK2A, 7LFdimtQU3yrgiKyE53klQ, o1_iIC0rU2yuF3SZvf6IjA, 4Xm4LZQjoavYm0Yjs1QgsQ, mnaTW8Wm0ESJXf4qqDtS9A, CdAmgWWCabZQoYNNWOKcEw, 9R5laAm5Kv4aBLVtH1gVnA, Rl318hUrGlkPJhMmNNZizQ, 0W5UWAcjwGuCJOv8rXGMqw","702, 644, 745, 888, 965, 861, 664, 575, 82, 647"
67,1Fx3krf1zjVRDooyCS21Ug,"Rl318hUrGlkPJhMmNNZizQ, _HMiq7vSET4uhNScBdOJnw, pJWufKPuAuRFUyky_LeUMg, rbWy2FCc_ABGSt8AzaDieg, JHi4LCxdbpXthg98sQiicQ, tDGDMePyQvBBn416-1SEMA, ib_206uhcdzV7lNcCpniXA, kA5pZz-koXIlPaDJALDroQ, 9R5laAm5Kv4aBLVtH1gVnA, qs6gA9Y5sRzpXnm_4QaP0Q","82, 615, 461, 619, 23, 395, 656, 466, 575, 127"
68,SdBE9XluzgQZ9Xiy70MnGw,"J9rMt_V1NX49rU3YUjh_7Q, U3i7AaegudvpmDL23_wEmQ, Rwzp59f3Ia-v2V8Ku0zZWQ, f_7AwdIzdiAbAlL2u--BaQ, YzYNEpi9JU34yJRqCxb9ag, YBXAx_jy3wHsaEfGhmaAyA, ZSpfF89JnQN6fiS8OhBlZQ, i5dxKKLe2kJ8WbPUXilPGg, ZhJ59SFPifQiTW0gAddfGw, ib_206uhcdzV7lNcCpniXA","758, 928, 599, 33, 665, 51, 589, 527, 694, 656"
69,SO5B0U096RjupQIHOnzRXA,"7LFdimtQU3yrgiKyE53klQ, new3Ny6i5ZJVn3m-i4A2Tg, BYwoAKKtdSeylSN7QV8oNw, Rwzp59f3Ia-v2V8Ku0zZWQ, Bf5g9rQo8G1e_4Eu4diZJQ, vcRsuNy62SGrrD9Mezz2aQ, t88UJ1i5c2HxbWQTV440mg, xD3L3JhNxsAfQikOHWHa4w, IC15vAUX4EiMlWxxMehohw, ahlZC7XOKN-XJ7P4sPZrRg","745, 125, 950, 599, 774, 282, 266, 351, 329, 937"
70,hC1HjO-Tye6dar3Bg0aZMw,"6LgTc7CZlXCd1Pxq3BiVcw, vVqxGrqt5ALxQjJGnntpKQ, cEX4Cw8q2ftBrbpCvInf0w, txwpCDw5Utu9WbM0VtYJqg, 0W5UWAcjwGuCJOv8rXGMqw, ymAw53bQVppVV7T40fNgRw, x0Pk5Uvy0y63FSzcfmxRpQ, J9rMt_V1NX49rU3YUjh_7Q, CdAmgWWCabZQoYNNWOKcEw, xAJfM-dMPOHFH35Adgi10w","681, 167, 446, 505, 647, 219, 682, 758, 664, 641"
71,gZdpDc208Ehm9k5MymZKKw,"7LFdimtQU3yrgiKyE53klQ, _HMiq7vSET4uhNScBdOJnw, vVqxGrqt5ALxQjJGnntpKQ, jLcBOqa-UT6qugFgZqjNvA, KPrdWch1680ihzVe3C-s3w, ZhJ59SFPifQiTW0gAddfGw, YzYNEpi9JU34yJRqCxb9ag, f1kFik39vZHPEt3z7ZWu4g, JHi4LCxdbpXthg98sQiicQ, ib_206uhcdzV7lNcCpniXA","745, 615, 167, 84, 670, 694, 665, 629, 23, 656"
72,co76qOLbbjeG2A9LZymtjQ,"Rwzp59f3Ia-v2V8Ku0zZWQ, UPRFpMsB4I64GRjUqjRmiw, vVqxGrqt5ALxQjJGnntpKQ, _HMiq7vSET4uhNScBdOJnw, Vbv5y8geUylTv9c_NExF1A, MPzZuWpKpeLBa833zzL9IQ, I1wArJIYbFl2txUL6unC6A, BYwoAKKtdSeylSN7QV8oNw, YzYNEpi9JU34yJRqCxb9ag, NbQH02mMYJ4r1RqvG2FDBA","599, 879, 167, 615, 602, 488, 907, 950, 665, 872"
73,AWPy2uveUH8ZLgNF9toO7g,"3vr42-TF3V31LrN5sAFbDQ, YkVRDcEa7vZK65u-tlL9tQ, i5dxKKLe2kJ8WbPUXilPGg, Rwzp59f3Ia-v2V8Ku0zZWQ, at7wfECnjgIJi5o7gL8fyQ, J9rMt_V1NX49rU3YUjh_7Q, 7LFdimtQU3yrgiKyE53klQ, Dn83poKTVhWL3ItLdalmYw, UPRFpMsB4I64GRjUqjRmiw, NbQH02mMYJ4r1RqvG2FDBA","699, 373, 527, 599, 612, 758, 745, 63, 879, 872"
74,ENdY-5f8v4-xwZ9cTQYsLw,"x0Pk5Uvy0y63FSzcfmxRpQ, Lv5GFFciSK532QIX2ZLqjg, gPmD_yz_3DK6q8gmCfjpOA, avrJOt2Kzk7fUpe4D4_DAQ, MPzZuWpKpeLBa833zzL9IQ, xsaHJx_tkVj1RArC2Fr3PA, 3hxwHzQ432UL3rQAWJG5TA, UGidvGF4aXsl7aVvPLmO4Q, cEX4Cw8q2ftBrbpCvInf0w, NbNk81ze4wftHA9hoXik7A","682, 164, 528, 342, 488, 305, 787, 677, 446, 103"
75,1ziEzn7BoXTfOQ4YBkdz1Q,"Dnw2zbneBYglJZaSxcqIbg, UPRFpMsB4I64GRjUqjRmiw, UGidvGF4aXsl7aVvPLmO4Q, 6LgTc7CZlXCd1Pxq3BiVcw, vVqxGrqt5ALxQjJGnntpKQ, ALNmvpU7JN_tOCD653vVWA, P-X4kr5pDqXzhPEfa6RsTQ, ZhJ59SFPifQiTW0gAddfGw, lycfBKtcR7keDQQOeMMsoA, 5RFNZZvtfF9uHVSUeYwzbQ","0, 879, 677, 681, 167, 659, 241, 694, 930, 89"
76,2HchhLgGj16aITZGVy0hqA,"M-PobdAR2gJhPyLR_WzMCQ, gPmD_yz_3DK6q8gmCfjpOA, I1wArJIYbFl2txUL6unC6A, hinGqQYvot8HtRYxSdr6FA, 6LgTc7CZlXCd1Pxq3BiVcw, 1AEbuCjMRS18fhpXAQozTQ, jLcBOqa-UT6qugFgZqjNvA, sxQdEEfKRviWRymOoH9UiA, pKNDz1tzC5llbengNUz_7w, AQEEH7JP1DFrvFuMi6TP2Q","253, 528, 907, 99, 681, 940, 84, 945, 66, 669"
77,J3mRNNw5CpKX2bmTpbkaSQ,"I1wArJIYbFl2txUL6unC6A, J9rMt_V1NX49rU3YUjh_7Q, pnjp8dim5eVWHIX7oYnEbQ, _HMiq7vSET4uhNScBdOJnw, CHSOxwAtWXl4I2kvBT-sng, 7LFdimtQU3yrgiKyE53klQ, xqniVNVNvAE1E9Qzf8b_Bw, ahlZC7XOKN-XJ7P4sPZrRg, ib_206uhcdzV7lNcCpniXA, t7sRzgaAW6vCAW4KgBrytg","907, 758, 744, 615, 851, 745, 723, 937, 656, 159"
78,CgvT48Iewm-pd20IZNNORw,"UPRFpMsB4I64GRjUqjRmiw, dFYfZsc-SUwRpDEgJiIoXA, NbQH02mMYJ4r1RqvG2FDBA, Pv0P0vYFIOlMPPfn18Wc7Q, CdAmgWWCabZQoYNNWOKcEw, 71aipxvzUEEAd245w61o7A, 58PYKm0WgNunAzuS4Qu1Zg, XuxzGu2PEr59drHseZOVCg, r0bjzYPVHwZo_DP66VLt4Q, -WRbjOIgvQQ3jlJnvKUBNA","879, 381, 872, 349, 664, 951, 267, 618, 274, 283"
79,wZPOBFPNbFP_Z40ewPGlOw,"9R5laAm5Kv4aBLVtH1gVnA, at7wfECnjgIJi5o7gL8fyQ, J9rMt_V1NX49rU3YUjh_7Q, XAMUaVFO2y5Vf1Uz_rYA1Q, zV9vGjToUEEUXim9lgSQnQ, i5dxKKLe2kJ8WbPUXilPGg, _7nMWBmfFvk9S3tKG3Ip_g, rz8khUD2Amv1lBoIiwpEWw, kA5pZz-koXIlPaDJALDroQ, tRPHSd0ow1hsqMRxyMePeg","575, 612, 758, 95, 673, 527, 141, 782, 466, 116"
80,NRXW5s7FvDVN21Ey3ve4fA,"Pv0P0vYFIOlMPPfn18Wc7Q, NbQH02mMYJ4r1RqvG2FDBA, BfGgttAzEPx9v7b8Sgkedw, LFknVw6uTIaL-MY_RqkN7g, x0Pk5Uvy0y63FSzcfmxRpQ, J3ijSN86u_Pg42BZjkDM_g, QNnQ3W1gDQtG1C-LVmedKA, EqdAzi9c5xuhxN9brmEaZw, 3hjoOyDJa8CjJtG6hApzIg, UPRFpMsB4I64GRjUqjRmiw","349, 872, 195, 707, 682, 343, 931, 225, 474, 879"
81,Ve9COknMqJRgoJ1VN9OH_A,"BYwoAKKtdSeylSN7QV8oNw, fY1IkBnRft1KR0O2tqu7pg, ZhJ59SFPifQiTW0gAddfGw, Rwzp59f3Ia-v2V8Ku0zZWQ, I1wArJIYbFl2txUL6unC6A, DDd3TW3lDvQduqmw-UkrUg, pKNDz1tzC5llbengNUz_7w, rXhvV-YyZaJLjgOnz7_jkA, pvgfvEwMJmtWkKBjEkGonQ, dFYfZsc-SUwRpDEgJiIoXA","950, 914, 694, 599, 907, 961, 66, 568, 935, 381"
82,bHBlJiNESfIssh4qFUvVPA,"BUB9WyngpND8oiQ7DXiS-g, Rl318hUrGlkPJhMmNNZizQ, U3i7AaegudvpmDL23_wEmQ, x44o1_Dw4QsQZRtBJgwZaA, BYwoAKKtdSeylSN7QV8oNw, lycfBKtcR7keDQQOeMMsoA, ib_206uhcdzV7lNcCpniXA, I1wArJIYbFl2txUL6unC6A, VEy3-SnvsKgWfGM_b2irbA, 7LFdimtQU3yrgiKyE53klQ","566, 82, 928, 39, 950, 930, 656, 907, 417, 745"
83,aUbs0HchxTaVBFR_cHdC9w,"_HMiq7vSET4uhNScBdOJnw, lycfBKtcR7keDQQOeMMsoA, 2qw1-Q_sVbo9QHWDlmznsw, 58PYKm0WgNunAzuS4Qu1Zg, BYwoAKKtdSeylSN7QV8oNw, Rwzp59f3Ia-v2V8Ku0zZWQ, x44o1_Dw4QsQZRtBJgwZaA, KPrdWch1680ihzVe3C-s3w, WdgQzBYDtTgcLahHvtiokA, I1wArJIYbFl2txUL6unC6A","615, 930, 500, 267, 950, 599, 39, 670, 212, 907"
84,Wz3F688OvXo5mjv3TmQO7w,"vZiWYH4XIiy3fqPNy615Kg, eCrnMk8-7not5ZjSfjQJ2g, UDXIJd-jPiVXp2ZoQwJt8g, Csr5OTkr0JX6Ho6Rm3b9qA, ZSpfF89JnQN6fiS8OhBlZQ, 1rxh5w5M0o9eGUutMY8R2g, sxQdEEfKRviWRymOoH9UiA, KPrdWch1680ihzVe3C-s3w, N-_l2Mzksm2k_sXs__Vy8w, 1AEbuCjMRS18fhpXAQozTQ","443, 700, 831, 221, 589, 554, 945, 670, 186, 940"
85,ykj_bzOhA4qt6p-8HAHoaA,"7LFdimtQU3yrgiKyE53klQ, MqdAYfl1p_c1144i48k6jw, bjL1PC2e9dvjBVewmoXYwQ, rbWy2FCc_ABGSt8AzaDieg, LFknVw6uTIaL-MY_RqkN7g, hSEGyy0-i1_ZXGIRySbgcg, r0bjzYPVHwZo_DP66VLt4Q, 2JFWJDNeLZN3dbTXs8kNMQ, sxQdEEfKRviWRymOoH9UiA, j02fdPWz9L-et3yjzHnhuw","745, 207, 524, 619, 707, 710, 274, 439, 945, 596"
86,jkr3YVCEoRNKkxinUZpW6A,"VEy3-SnvsKgWfGM_b2irbA, txwpCDw5Utu9WbM0VtYJqg, 6LgTc7CZlXCd1Pxq3BiVcw, i5dxKKLe2kJ8WbPUXilPGg, rAy5tizRpmTpZBg_0aTlKg, vVqxGrqt5ALxQjJGnntpKQ, lycfBKtcR7keDQQOeMMsoA, x44o1_Dw4QsQZRtBJgwZaA, -WRbjOIgvQQ3jlJnvKUBNA, 7LFdimtQU3yrgiKyE53klQ","417, 505, 681, 527, 545, 167, 930, 39, 283, 745"
87,kw4Q3Qfj_8WxjTNExSi1hw,"hSEGyy0-i1_ZXGIRySbgcg, fY1IkBnRft1KR0O2tqu7pg, 7LFdimtQU3yrgiKyE53klQ, fqhahiKsc6gPs5Sx4mf9Vg, K0jxSR_b1Bm4vmjCeSx9qA, ADtSvzL_abKwWPM1EL2yJw, XuxzGu2PEr59drHseZOVCg, WFtN3VJ4Tft0hQHl6NZaAA, ZhJ59SFPifQiTW0gAddfGw, BYwoAKKtdSeylSN7QV8oNw","710, 914, 745, 918, 842, 410, 618, 697, 694, 950"
88,XuCbLgo9j1q5dDh9251vkg,"x0Pk5Uvy0y63FSzcfmxRpQ, CdAmgWWCabZQoYNNWOKcEw, 7LFdimtQU3yrgiKyE53klQ, uQu5DtnXZZ8XVfBKldKnag, MuaIn9h_YOAmZxHxtQXAAw, Rl318hUrGlkPJhMmNNZizQ, kqlgP7zsdL_uwYgf-94mRQ, OExxlOVjUIDh3TFjPzbSDA, BYwoAKKtdSeylSN7QV8oNw, YkVRDcEa7vZK65u-tlL9tQ","682, 664, 745, 178, 953, 82, 982, 226, 950, 373"
89,IFkSQLXXTMACoWirAYI1jw,"fY1IkBnRft1KR0O2tqu7pg, bjL1PC2e9dvjBVewmoXYwQ, U3i7AaegudvpmDL23_wEmQ, ADtSvzL_abKwWPM1EL2yJw, KPrdWch1680ihzVe3C-s3w, 2JFWJDNeLZN3dbTXs8kNMQ, 8F-sFWDWTnJlZz4SOum5aA, 2qw1-Q_sVbo9QHWDlmznsw, NbQH02mMYJ4r1RqvG2FDBA, eNuJkqMjbGRbY-T01JsTXA","914, 524, 928, 410, 670, 439, 696, 500, 872, 541"
90,1Sxapu-7u6YpmmhVPsLuKQ,"BYwoAKKtdSeylSN7QV8oNw, vVqxGrqt5ALxQjJGnntpKQ, fqhahiKsc6gPs5Sx4mf9Vg, tDGDMePyQvBBn416-1SEMA, P-X4kr5pDqXzhPEfa6RsTQ, Rl318hUrGlkPJhMmNNZizQ, _7nMWBmfFvk9S3tKG3Ip_g, -U4BnQL4VC3dkRDUZL0i8Q, uQu5DtnXZZ8XVfBKldKnag, ib_206uhcdzV7lNcCpniXA","950, 167, 918, 395, 241, 82, 141, 812, 178, 656"
91,u0LXt3Uea_GidxRW1xcsfg,"4ZOXsBhHx2EzrTwACILK2A, bjL1PC2e9dvjBVewmoXYwQ, DbvK2HkM-wxbEQxlmczAlQ, ahlZC7XOKN-XJ7P4sPZrRg, MPzZuWpKpeLBa833zzL9IQ, x0Pk5Uvy0y63FSzcfmxRpQ, 6LgTc7CZlXCd1Pxq3BiVcw, CdAmgWWCabZQoYNNWOKcEw, 4Xm4LZQjoavYm0Yjs1QgsQ, 9R5laAm5Kv4aBLVtH1gVnA","644, 524, 841, 937, 488, 682, 681, 664, 965, 575"
92,mPOk4zvDocFVTjoGiPkQtA,"fY1IkBnRft1KR0O2tqu7pg, _HMiq7vSET4uhNScBdOJnw, 4Xm4LZQjoavYm0Yjs1QgsQ, VZcs1K7A31sNQurNXs9gaQ, EECw-s6Jy-fyJHhkUGQhHg, k3pHAEdDGC2tqHlrqXql4Q, mcFT96dzIsrtGdd9JNmIzw, RCCmioxS43ZBpVux9nIdIg, UGidvGF4aXsl7aVvPLmO4Q, x0Pk5Uvy0y63FSzcfmxRpQ","914, 615, 965, 643, 642, 151, 638, 389, 677, 682"
93,PMMcGelLIQEF_7mILSBkJA,"x0Pk5Uvy0y63FSzcfmxRpQ, Rl318hUrGlkPJhMmNNZizQ, 7LFdimtQU3yrgiKyE53klQ, bjL1PC2e9dvjBVewmoXYwQ, CdAmgWWCabZQoYNNWOKcEw, vLIr2SJHzrjBwQ62F49a_A, Yp3CLIf55i9sY7tVAO6a3Q, J9rMt_V1NX49rU3YUjh_7Q, rAy5tizRpmTpZBg_0aTlKg, BYwoAKKtdSeylSN7QV8oNw","682, 82, 745, 524, 664, 532, 464, 758, 545, 950"
94,mSIHzvUKXiCtPBxywY7Xsg,"2tGFUtUrE0DhwlX59pbArA, LPtMf4KcWYD_T6vI8kA34A, OuU88_AEU5lo-t_XQpTyKg, uQu5DtnXZZ8XVfBKldKnag, g_oK5K039p7OVy43FSg-ug, Lv5GFFciSK532QIX2ZLqjg, bjL1PC2e9dvjBVewmoXYwQ, r2L533c9lFGpjcuUJKY2PA, gCTgjlUH5JQk0r-RZ7Gg_Q, 1wminQ_T3ITTZXBRhLtFug","801, 732, 491, 178, 949, 164, 524, 130, 856, 246"
95,4MeyfdyeJ38A_wOKLapRMQ,"kA5pZz-koXIlPaDJALDroQ, x44o1_Dw4QsQZRtBJgwZaA, dFYfZsc-SUwRpDEgJiIoXA, Yp3CLIf55i9sY7tVAO6a3Q, lE9qVePgvolkhw6C3Cdkeg, MPzZuWpKpeLBa833zzL9IQ, _HMiq7vSET4uhNScBdOJnw, I1wArJIYbFl2txUL6unC6A, LFknVw6uTIaL-MY_RqkN7g, JG3Yw6z48y6Eyi0DnN19tQ","466, 39, 381, 464, 309, 488, 615, 907, 707, 667"
96,neY6_AqAzhp11oRfViMgjg,"cEX4Cw8q2ftBrbpCvInf0w, 9R5laAm5Kv4aBLVtH1gVnA, EqdAzi9c5xuhxN9brmEaZw, i5dxKKLe2kJ8WbPUXilPGg, J9rMt_V1NX49rU3YUjh_7Q, kqlgP7zsdL_uwYgf-94mRQ, ukt4MFLf8IpsI420CJCMkA, vVqxGrqt5ALxQjJGnntpKQ, rAmZbbHYehHOS4p4rkYWmg, 7LFdimtQU3yrgiKyE53klQ","446, 575, 225, 527, 758, 982, 510, 167, 476, 745"
97,BIGlirQ2B5zErr9CdQZC0A,"i5dxKKLe2kJ8WbPUXilPGg, I1wArJIYbFl2txUL6unC6A, J9rMt_V1NX49rU3YUjh_7Q, KX5KY8fLlMoJMS1NAj0Pvw, ahlZC7XOKN-XJ7P4sPZrRg, zV9vGjToUEEUXim9lgSQnQ, ib_206uhcdzV7lNcCpniXA, 7LFdimtQU3yrgiKyE53klQ, U3i7AaegudvpmDL23_wEmQ, QxT3goSTkSGWqq4ecId_AQ","527, 907, 758, 388, 937, 673, 656, 745, 928, 878"
98,-R30cfDhWG9-_8sfHU1IHw,"fY1IkBnRft1KR0O2tqu7pg, x0Pk5Uvy0y63FSzcfmxRpQ, ZhJ59SFPifQiTW0gAddfGw, v5_taHZMrO3cV1CpuIBDEw, 4Xm4LZQjoavYm0Yjs1QgsQ, CdAmgWWCabZQoYNNWOKcEw, lE9qVePgvolkhw6C3Cdkeg, uQu5DtnXZZ8XVfBKldKnag, I1wArJIYbFl2txUL6unC6A, UGidvGF4aXsl7aVvPLmO4Q","914, 682, 694, 624, 965, 664, 309, 178, 907, 677"
99,HRogYuuae1e-Z6EMVQsReg,"7LFdimtQU3yrgiKyE53klQ, NbQH02mMYJ4r1RqvG2FDBA, YkVRDcEa7vZK65u-tlL9tQ, Rwzp59f3Ia-v2V8Ku0zZWQ, O79uzVop5yqobf3bdjZzQg, J9rMt_V1NX49rU3YUjh_7Q, vVqxGrqt5ALxQjJGnntpKQ, pJWufKPuAuRFUyky_LeUMg, _HMiq7vSET4uhNScBdOJnw, vZiWYH4XIiy3fqPNy615Kg","745, 872, 373, 599, 580, 758, 167, 461, 615, 443"
