number,user,restaurant_names
56,6FFuvWqU2jyr7_Y7sdTsvg,"U3i7AaegudvpmDL23_wEmQ, 2JFWJDNeLZN3dbTXs8kNMQ, OExxlOVjUIDh3TFjPzbSDA, kDlakqhueliPOad3CDNE_A, ymAw53bQVppVV7T40fNgRw, 2FLfIQ9u3PJKg2iLhkl91A, kreVrwY9zqfQVFbF-CP_Gg, wyDfBs1tYSIiBO7HCPKNTg, PFJ8q-KldY-GG6cI1IhNUQ, OwgjWbW9NaTYRax_0Rb9lQ"
57,ARHlG11NVB69dZ0Ky3HmXg,"PiHPVBDkXTXaJtrrnJt9QQ, NSjzCmaZGZAOe6i9l1lj9g, 8F-sFWDWTnJlZz4SOum5aA, ALNmvpU7JN_tOCD653vVWA, dFYfZsc-SUwRpDEgJiIoXA, CdAmgWWCabZQoYNNWOKcEw, 4Xm4LZQjoavYm0Yjs1QgsQ, c7Ri-jVC0lvZbJtSPIsSEw, k64owRciJIw71LW9Fx3FUw, Lv5GFFciSK532QIX2ZLqjg"
58,j21GdRmmPI2vzVVxaYpKbg,"x44o1_Dw4QsQZRtBJgwZaA, sxQdEEfKRviWRymOoH9UiA, Rwzp59f3Ia-v2V8Ku0zZWQ, uQu5DtnXZZ8XVfBKldKnag, 7LFdimtQU3yrgiKyE53klQ, EOVqWdn7Gjs6HW_W4lollQ, I1wArJIYbFl2txUL6unC6A, vVqxGrqt5ALxQjJGnntpKQ, IC15vAUX4EiMlWxxMehohw, lJ5YkS5fxC8dcSK4FPtyYQ"
59,BxXEXnFX8xeG7Y56-XXHZg,"ZhJ59SFPifQiTW0gAddfGw, NbQH02mMYJ4r1RqvG2FDBA, fY1IkBnRft1KR0O2tqu7pg, fqhahiKsc6gPs5Sx4mf9Vg, hinGqQYvot8HtRYxSdr6FA, MqdAYfl1p_c1144i48k6jw, U3i7AaegudvpmDL23_wEmQ, z3zGql0n8YV9HCtUu6Be2w, g_oK5K039p7OVy43FSg-ug, CtKk2tB1I0QNui996NR2pg"
60,I9wjC0MrCfMbnXYwYvXCDw,"NbQH02mMYJ4r1RqvG2FDBA, YnnYwfMEeSru_cJ_qKeofw, bjL1PC2e9dvjBVewmoXYwQ, ahlZC7XOKN-XJ7P4sPZrRg, CdAmgWWCabZQoYNNWOKcEw, CHSOxwAtWXl4I2kvBT-sng, uq9uIKV-lxn1bvLxkQaAow, U3i7AaegudvpmDL23_wEmQ, tz8VEeIOoM5Cu1NSnC2JIQ, 73G2fb9fQ1bHRqns3cikmA"
61,J8mFTJfBBBaShBX1WV30hA,"rAmZbbHYehHOS4p4rkYWmg, i5dxKKLe2kJ8WbPUXilPGg, MqdAYfl1p_c1144i48k6jw, T7ekp7FiffoWDq53hbZDhg, txwpCDw5Utu9WbM0VtYJqg, EOVqWdn7Gjs6HW_W4lollQ, 7LFdimtQU3yrgiKyE53klQ, UPRFpMsB4I64GRjUqjRmiw, ahlZC7XOKN-XJ7P4sPZrRg, 0W5UWAcjwGuCJOv8rXGMqw"
62,SlOendilVJwP8GhRoxJX_w,"lnC_BiucMb6YJjm392nwAQ, _HMiq7vSET4uhNScBdOJnw, j02fdPWz9L-et3yjzHnhuw, HkZyV6SIVzdFpC5GRYlMkA, PiHPVBDkXTXaJtrrnJt9QQ, _7nMWBmfFvk9S3tKG3Ip_g, NbQH02mMYJ4r1RqvG2FDBA, I1wArJIYbFl2txUL6unC6A, o1_iIC0rU2yuF3SZvf6IjA, 5yXO6FV7ehyj2JojWw8N_A"
63,4m1PPtF587WIZTBlT6xh6A,"ahlZC7XOKN-XJ7P4sPZrRg, x44o1_Dw4QsQZRtBJgwZaA, rAmZbbHYehHOS4p4rkYWmg, O79uzVop5yqobf3bdjZzQg, VEy3-SnvsKgWfGM_b2irbA, vVqxGrqt5ALxQjJGnntpKQ, ko4q1Oj4iWvYSxoamlcEgw, J3ijSN86u_Pg42BZjkDM_g, BXphYTodNSLUdeVDXmVnog, IC15vAUX4EiMlWxxMehohw"
64,4Uf6g20S-2ZcxJSuvVIjJg,"cEX4Cw8q2ftBrbpCvInf0w, fY1IkBnRft1KR0O2tqu7pg, J9rMt_V1NX49rU3YUjh_7Q, txwpCDw5Utu9WbM0VtYJqg, vVqxGrqt5ALxQjJGnntpKQ, CdAmgWWCabZQoYNNWOKcEw, Xtr2M_mh9_jOkmpNd_CSCA, M-PobdAR2gJhPyLR_WzMCQ, DDd3TW3lDvQduqmw-UkrUg, bjL1PC2e9dvjBVewmoXYwQ"
65,CZQUtmO5NIY-bZWkCqHeJg,"lJ5YkS5fxC8dcSK4FPtyYQ, XuxzGu2PEr59drHseZOVCg, uq9uIKV-lxn1bvLxkQaAow, GGMka0ITgk7w_YUHUo8gqg, 5p2AWrPlYJM5hh54HcyA3g, LPtMf4KcWYD_T6vI8kA34A, CvS3MUQVNSRk-RCL5Iwwug, x0Pk5Uvy0y63FSzcfmxRpQ, 71aipxvzUEEAd245w61o7A, Pv0P0vYFIOlMPPfn18Wc7Q"
66,KGDeSGEyQ_W3YSBs-X--Jg,"7LFdimtQU3yrgiKyE53klQ, mnaTW8Wm0ESJXf4qqDtS9A, 9R5laAm5Kv4aBLVtH1gVnA, Rl318hUrGlkPJhMmNNZizQ, xdCYUyNhjRkKPR3lzcf9_g, CdAmgWWCabZQoYNNWOKcEw, 4ZOXsBhHx2EzrTwACILK2A, 4Xm4LZQjoavYm0Yjs1QgsQ, o1_iIC0rU2yuF3SZvf6IjA, Bf5g9rQo8G1e_4Eu4diZJQ"
67,1Fx3krf1zjVRDooyCS21Ug,"Rl318hUrGlkPJhMmNNZizQ, _HMiq7vSET4uhNScBdOJnw, rbWy2FCc_ABGSt8AzaDieg, ib_206uhcdzV7lNcCpniXA, ko4q1Oj4iWvYSxoamlcEgw, qs6gA9Y5sRzpXnm_4QaP0Q, 9R5laAm5Kv4aBLVtH1gVnA, JHi4LCxdbpXthg98sQiicQ, pJWufKPuAuRFUyky_LeUMg, vVqxGrqt5ALxQjJGnntpKQ"
68,SdBE9XluzgQZ9Xiy70MnGw,"J9rMt_V1NX49rU3YUjh_7Q, U3i7AaegudvpmDL23_wEmQ, Rwzp59f3Ia-v2V8Ku0zZWQ, ZSpfF89JnQN6fiS8OhBlZQ, _HMiq7vSET4uhNScBdOJnw, jLcBOqa-UT6qugFgZqjNvA, YBXAx_jy3wHsaEfGhmaAyA, ib_206uhcdzV7lNcCpniXA, ZhJ59SFPifQiTW0gAddfGw, YzYNEpi9JU34yJRqCxb9ag"
69,SO5B0U096RjupQIHOnzRXA,"7LFdimtQU3yrgiKyE53klQ, BYwoAKKtdSeylSN7QV8oNw, Rwzp59f3Ia-v2V8Ku0zZWQ, new3Ny6i5ZJVn3m-i4A2Tg, IC15vAUX4EiMlWxxMehohw, dFYfZsc-SUwRpDEgJiIoXA, t88UJ1i5c2HxbWQTV440mg, ib_206uhcdzV7lNcCpniXA, Bf5g9rQo8G1e_4Eu4diZJQ, xqniVNVNvAE1E9Qzf8b_Bw"
70,hC1HjO-Tye6dar3Bg0aZMw,"6LgTc7CZlXCd1Pxq3BiVcw, cEX4Cw8q2ftBrbpCvInf0w, vVqxGrqt5ALxQjJGnntpKQ, txwpCDw5Utu9WbM0VtYJqg, CdAmgWWCabZQoYNNWOKcEw, 0W5UWAcjwGuCJOv8rXGMqw, xAJfM-dMPOHFH35Adgi10w, ymAw53bQVppVV7T40fNgRw, BYwoAKKtdSeylSN7QV8oNw, 2JFWJDNeLZN3dbTXs8kNMQ"
71,gZdpDc208Ehm9k5MymZKKw,"_HMiq7vSET4uhNScBdOJnw, 7LFdimtQU3yrgiKyE53klQ, YzYNEpi9JU34yJRqCxb9ag, f1kFik39vZHPEt3z7ZWu4g, JHi4LCxdbpXthg98sQiicQ, ZhJ59SFPifQiTW0gAddfGw, jLcBOqa-UT6qugFgZqjNvA, vVqxGrqt5ALxQjJGnntpKQ, KPrdWch1680ihzVe3C-s3w, ib_206uhcdzV7lNcCpniXA"
72,co76qOLbbjeG2A9LZymtjQ,"Rwzp59f3Ia-v2V8Ku0zZWQ, 7LFdimtQU3yrgiKyE53klQ, BYwoAKKtdSeylSN7QV8oNw, x44o1_Dw4QsQZRtBJgwZaA, I1wArJIYbFl2txUL6unC6A, _HMiq7vSET4uhNScBdOJnw, MPzZuWpKpeLBa833zzL9IQ, _7nMWBmfFvk9S3tKG3Ip_g, Vbv5y8geUylTv9c_NExF1A, UPRFpMsB4I64GRjUqjRmiw"
73,AWPy2uveUH8ZLgNF9toO7g,"at7wfECnjgIJi5o7gL8fyQ, Rwzp59f3Ia-v2V8Ku0zZWQ, i5dxKKLe2kJ8WbPUXilPGg, J9rMt_V1NX49rU3YUjh_7Q, 3vr42-TF3V31LrN5sAFbDQ, YkVRDcEa7vZK65u-tlL9tQ, T7ekp7FiffoWDq53hbZDhg, fY1IkBnRft1KR0O2tqu7pg, VEy3-SnvsKgWfGM_b2irbA, MqdAYfl1p_c1144i48k6jw"
74,ENdY-5f8v4-xwZ9cTQYsLw,"NbNk81ze4wftHA9hoXik7A, xsaHJx_tkVj1RArC2Fr3PA, hinGqQYvot8HtRYxSdr6FA, x0Pk5Uvy0y63FSzcfmxRpQ, 3hxwHzQ432UL3rQAWJG5TA, avrJOt2Kzk7fUpe4D4_DAQ, cEX4Cw8q2ftBrbpCvInf0w, gPmD_yz_3DK6q8gmCfjpOA, UGidvGF4aXsl7aVvPLmO4Q, Lv5GFFciSK532QIX2ZLqjg"
75,1ziEzn7BoXTfOQ4YBkdz1Q,"ALNmvpU7JN_tOCD653vVWA, Dnw2zbneBYglJZaSxcqIbg, lycfBKtcR7keDQQOeMMsoA, ZhJ59SFPifQiTW0gAddfGw, vVqxGrqt5ALxQjJGnntpKQ, VEy3-SnvsKgWfGM_b2irbA, tz8VEeIOoM5Cu1NSnC2JIQ, 6LgTc7CZlXCd1Pxq3BiVcw, P-X4kr5pDqXzhPEfa6RsTQ, dFYfZsc-SUwRpDEgJiIoXA"
76,2HchhLgGj16aITZGVy0hqA,"M-PobdAR2gJhPyLR_WzMCQ, gPmD_yz_3DK6q8gmCfjpOA, LpH8qtJxfubEf4BRJVcWjg, Rwzp59f3Ia-v2V8Ku0zZWQ, AQEEH7JP1DFrvFuMi6TP2Q, pKNDz1tzC5llbengNUz_7w, hinGqQYvot8HtRYxSdr6FA, 7LFdimtQU3yrgiKyE53klQ, jLcBOqa-UT6qugFgZqjNvA, _HMiq7vSET4uhNScBdOJnw"
77,J3mRNNw5CpKX2bmTpbkaSQ,"I1wArJIYbFl2txUL6unC6A, 7LFdimtQU3yrgiKyE53klQ, _HMiq7vSET4uhNScBdOJnw, CHSOxwAtWXl4I2kvBT-sng, ib_206uhcdzV7lNcCpniXA, J9rMt_V1NX49rU3YUjh_7Q, pnjp8dim5eVWHIX7oYnEbQ, xqniVNVNvAE1E9Qzf8b_Bw, ahlZC7XOKN-XJ7P4sPZrRg, BYwoAKKtdSeylSN7QV8oNw"
78,CgvT48Iewm-pd20IZNNORw,"UPRFpMsB4I64GRjUqjRmiw, dFYfZsc-SUwRpDEgJiIoXA, NAsglQPCdPMJV_RkHge27A, bjL1PC2e9dvjBVewmoXYwQ, 71aipxvzUEEAd245w61o7A, -WRbjOIgvQQ3jlJnvKUBNA, Rwzp59f3Ia-v2V8Ku0zZWQ, sxQdEEfKRviWRymOoH9UiA, NbQH02mMYJ4r1RqvG2FDBA, XLa3iW4hkLyImtZAx61lSg"
79,wZPOBFPNbFP_Z40ewPGlOw,"9R5laAm5Kv4aBLVtH1gVnA, at7wfECnjgIJi5o7gL8fyQ, J9rMt_V1NX49rU3YUjh_7Q, XAMUaVFO2y5Vf1Uz_rYA1Q, tRPHSd0ow1hsqMRxyMePeg, n2CnBRKK82cWZ9a2OjS2xQ, kA5pZz-koXIlPaDJALDroQ, _7nMWBmfFvk9S3tKG3Ip_g, _HMiq7vSET4uhNScBdOJnw, I1wArJIYbFl2txUL6unC6A"
80,NRXW5s7FvDVN21Ey3ve4fA,"Pv0P0vYFIOlMPPfn18Wc7Q, LFknVw6uTIaL-MY_RqkN7g, x0Pk5Uvy0y63FSzcfmxRpQ, BfGgttAzEPx9v7b8Sgkedw, NbQH02mMYJ4r1RqvG2FDBA, tDGDMePyQvBBn416-1SEMA, J3ijSN86u_Pg42BZjkDM_g, txwpCDw5Utu9WbM0VtYJqg, ZhJ59SFPifQiTW0gAddfGw, vVqxGrqt5ALxQjJGnntpKQ"
81,Ve9COknMqJRgoJ1VN9OH_A,"BYwoAKKtdSeylSN7QV8oNw, fY1IkBnRft1KR0O2tqu7pg, pKNDz1tzC5llbengNUz_7w, pvgfvEwMJmtWkKBjEkGonQ, uQu5DtnXZZ8XVfBKldKnag, JHi4LCxdbpXthg98sQiicQ, hSEGyy0-i1_ZXGIRySbgcg, rXhvV-YyZaJLjgOnz7_jkA, ZhJ59SFPifQiTW0gAddfGw, DDd3TW3lDvQduqmw-UkrUg"
82,bHBlJiNESfIssh4qFUvVPA,"lycfBKtcR7keDQQOeMMsoA, dFYfZsc-SUwRpDEgJiIoXA, JHi4LCxdbpXthg98sQiicQ, BUB9WyngpND8oiQ7DXiS-g, SNO_rcpzRL8b2EB9QuntTQ, uQu5DtnXZZ8XVfBKldKnag, U3i7AaegudvpmDL23_wEmQ, 7LFdimtQU3yrgiKyE53klQ, dUUJ2-v8Vltv4FkUB55bog, -U4BnQL4VC3dkRDUZL0i8Q"
83,aUbs0HchxTaVBFR_cHdC9w,"_HMiq7vSET4uhNScBdOJnw, I1wArJIYbFl2txUL6unC6A, EECw-s6Jy-fyJHhkUGQhHg, 2qw1-Q_sVbo9QHWDlmznsw, KPrdWch1680ihzVe3C-s3w, 5p2AWrPlYJM5hh54HcyA3g, lycfBKtcR7keDQQOeMMsoA, x44o1_Dw4QsQZRtBJgwZaA, WdgQzBYDtTgcLahHvtiokA, 58PYKm0WgNunAzuS4Qu1Zg"
84,Wz3F688OvXo5mjv3TmQO7w,"UDXIJd-jPiVXp2ZoQwJt8g, vZiWYH4XIiy3fqPNy615Kg, eCrnMk8-7not5ZjSfjQJ2g, Csr5OTkr0JX6Ho6Rm3b9qA, 6LgTc7CZlXCd1Pxq3BiVcw, KPrdWch1680ihzVe3C-s3w, ZSpfF89JnQN6fiS8OhBlZQ, XuxzGu2PEr59drHseZOVCg, hSEGyy0-i1_ZXGIRySbgcg, g_oK5K039p7OVy43FSg-ug"
85,ykj_bzOhA4qt6p-8HAHoaA,"MqdAYfl1p_c1144i48k6jw, 7LFdimtQU3yrgiKyE53klQ, ahlZC7XOKN-XJ7P4sPZrRg, rbWy2FCc_ABGSt8AzaDieg, f0XsCt81O34aR6BEo7GyQg, sxQdEEfKRviWRymOoH9UiA, NbQH02mMYJ4r1RqvG2FDBA, 2qw1-Q_sVbo9QHWDlmznsw, 2FLfIQ9u3PJKg2iLhkl91A, j02fdPWz9L-et3yjzHnhuw"
86,jkr3YVCEoRNKkxinUZpW6A,"vVqxGrqt5ALxQjJGnntpKQ, rAy5tizRpmTpZBg_0aTlKg, VEy3-SnvsKgWfGM_b2irbA, txwpCDw5Utu9WbM0VtYJqg, i5dxKKLe2kJ8WbPUXilPGg, 6LgTc7CZlXCd1Pxq3BiVcw, 0W5UWAcjwGuCJOv8rXGMqw, pAOYo3ZahSkdHTVPPGtGfQ, NbQH02mMYJ4r1RqvG2FDBA, JzjxQh-XLNKNsUvrg8qdSQ"
87,kw4Q3Qfj_8WxjTNExSi1hw,"7LFdimtQU3yrgiKyE53klQ, fY1IkBnRft1KR0O2tqu7pg, K0jxSR_b1Bm4vmjCeSx9qA, fqhahiKsc6gPs5Sx4mf9Vg, hSEGyy0-i1_ZXGIRySbgcg, I1wArJIYbFl2txUL6unC6A, NbQH02mMYJ4r1RqvG2FDBA, hinGqQYvot8HtRYxSdr6FA, BYwoAKKtdSeylSN7QV8oNw, XuxzGu2PEr59drHseZOVCg"
88,XuCbLgo9j1q5dDh9251vkg,"x0Pk5Uvy0y63FSzcfmxRpQ, Rl318hUrGlkPJhMmNNZizQ, MuaIn9h_YOAmZxHxtQXAAw, uQu5DtnXZZ8XVfBKldKnag, CdAmgWWCabZQoYNNWOKcEw, 7LFdimtQU3yrgiKyE53klQ, CvS3MUQVNSRk-RCL5Iwwug, ib_206uhcdzV7lNcCpniXA, ALNmvpU7JN_tOCD653vVWA, 9R5laAm5Kv4aBLVtH1gVnA"
89,IFkSQLXXTMACoWirAYI1jw,"bjL1PC2e9dvjBVewmoXYwQ, U3i7AaegudvpmDL23_wEmQ, ADtSvzL_abKwWPM1EL2yJw, fY1IkBnRft1KR0O2tqu7pg, XLa3iW4hkLyImtZAx61lSg, NbQH02mMYJ4r1RqvG2FDBA, KPrdWch1680ihzVe3C-s3w, 2qw1-Q_sVbo9QHWDlmznsw, 2JFWJDNeLZN3dbTXs8kNMQ, eNuJkqMjbGRbY-T01JsTXA"
90,1Sxapu-7u6YpmmhVPsLuKQ,"BYwoAKKtdSeylSN7QV8oNw, fqhahiKsc6gPs5Sx4mf9Vg, vVqxGrqt5ALxQjJGnntpKQ, EGoCGAhJMivxr_C7H0hoKw, Rl318hUrGlkPJhMmNNZizQ, -U4BnQL4VC3dkRDUZL0i8Q, 7LFdimtQU3yrgiKyE53klQ, _7nMWBmfFvk9S3tKG3Ip_g, HALtXIDS54MBLYD3VRyJ8A, tDGDMePyQvBBn416-1SEMA"
91,u0LXt3Uea_GidxRW1xcsfg,"4ZOXsBhHx2EzrTwACILK2A, bjL1PC2e9dvjBVewmoXYwQ, 6LgTc7CZlXCd1Pxq3BiVcw, 4Xm4LZQjoavYm0Yjs1QgsQ, x0Pk5Uvy0y63FSzcfmxRpQ, MPzZuWpKpeLBa833zzL9IQ, CdAmgWWCabZQoYNNWOKcEw, ahlZC7XOKN-XJ7P4sPZrRg, DbvK2HkM-wxbEQxlmczAlQ, 9R5laAm5Kv4aBLVtH1gVnA"
92,mPOk4zvDocFVTjoGiPkQtA,"fY1IkBnRft1KR0O2tqu7pg, _HMiq7vSET4uhNScBdOJnw, uQu5DtnXZZ8XVfBKldKnag, EECw-s6Jy-fyJHhkUGQhHg, CvS3MUQVNSRk-RCL5Iwwug, RCCmioxS43ZBpVux9nIdIg, lJ5YkS5fxC8dcSK4FPtyYQ, Xbd6RhIE2tbrKTCg-jqEcQ, VZcs1K7A31sNQurNXs9gaQ, CdAmgWWCabZQoYNNWOKcEw"
93,PMMcGelLIQEF_7mILSBkJA,"x0Pk5Uvy0y63FSzcfmxRpQ, BYwoAKKtdSeylSN7QV8oNw, mnaTW8Wm0ESJXf4qqDtS9A, x44o1_Dw4QsQZRtBJgwZaA, Rl318hUrGlkPJhMmNNZizQ, uQu5DtnXZZ8XVfBKldKnag, vVqxGrqt5ALxQjJGnntpKQ, J9rMt_V1NX49rU3YUjh_7Q, xD3L3JhNxsAfQikOHWHa4w, CdAmgWWCabZQoYNNWOKcEw"
94,mSIHzvUKXiCtPBxywY7Xsg,"2tGFUtUrE0DhwlX59pbArA, LPtMf4KcWYD_T6vI8kA34A, Lv5GFFciSK532QIX2ZLqjg, uQu5DtnXZZ8XVfBKldKnag, OuU88_AEU5lo-t_XQpTyKg, 1rxh5w5M0o9eGUutMY8R2g, g_oK5K039p7OVy43FSg-ug, hinGqQYvot8HtRYxSdr6FA, CtKk2tB1I0QNui996NR2pg, fY1IkBnRft1KR0O2tqu7pg"
95,4MeyfdyeJ38A_wOKLapRMQ,"Yp3CLIf55i9sY7tVAO6a3Q, lE9qVePgvolkhw6C3Cdkeg, LFknVw6uTIaL-MY_RqkN7g, JG3Yw6z48y6Eyi0DnN19tQ, OExxlOVjUIDh3TFjPzbSDA, kA5pZz-koXIlPaDJALDroQ, MPzZuWpKpeLBa833zzL9IQ, t88UJ1i5c2HxbWQTV440mg, x44o1_Dw4QsQZRtBJgwZaA, dFYfZsc-SUwRpDEgJiIoXA"
96,neY6_AqAzhp11oRfViMgjg,"i5dxKKLe2kJ8WbPUXilPGg, 9R5laAm5Kv4aBLVtH1gVnA, EqdAzi9c5xuhxN9brmEaZw, cEX4Cw8q2ftBrbpCvInf0w, J9rMt_V1NX49rU3YUjh_7Q, ZSpfF89JnQN6fiS8OhBlZQ, MqdAYfl1p_c1144i48k6jw, ZhJ59SFPifQiTW0gAddfGw, 71aipxvzUEEAd245w61o7A, lJ5YkS5fxC8dcSK4FPtyYQ"
97,BIGlirQ2B5zErr9CdQZC0A,"I1wArJIYbFl2txUL6unC6A, i5dxKKLe2kJ8WbPUXilPGg, ib_206uhcdzV7lNcCpniXA, J9rMt_V1NX49rU3YUjh_7Q, tRPHSd0ow1hsqMRxyMePeg, 7LFdimtQU3yrgiKyE53klQ, U3i7AaegudvpmDL23_wEmQ, QxT3goSTkSGWqq4ecId_AQ, ahlZC7XOKN-XJ7P4sPZrRg, VZcs1K7A31sNQurNXs9gaQ"
98,-R30cfDhWG9-_8sfHU1IHw,"x0Pk5Uvy0y63FSzcfmxRpQ, ZhJ59SFPifQiTW0gAddfGw, fY1IkBnRft1KR0O2tqu7pg, GqZlZ412ixwUxU9GfxStgQ, rAy5tizRpmTpZBg_0aTlKg, v5_taHZMrO3cV1CpuIBDEw, uQu5DtnXZZ8XVfBKldKnag, 2FLfIQ9u3PJKg2iLhkl91A, cNfJMGK0MDvs13Y020wTgA, Pz-MqlGaYrYa8q8mK5LDHA"
99,HRogYuuae1e-Z6EMVQsReg,"YkVRDcEa7vZK65u-tlL9tQ, 7LFdimtQU3yrgiKyE53klQ, NbQH02mMYJ4r1RqvG2FDBA, pJWufKPuAuRFUyky_LeUMg, J9rMt_V1NX49rU3YUjh_7Q, IC15vAUX4EiMlWxxMehohw, SNO_rcpzRL8b2EB9QuntTQ, l5lEOq47ne-jWKl67VKwZA, tDGDMePyQvBBn416-1SEMA, OExxlOVjUIDh3TFjPzbSDA"
100,buhaawsNr-41s2rdT3dJ5Q,"_HMiq7vSET4uhNScBdOJnw, Rwzp59f3Ia-v2V8Ku0zZWQ, 5LMkTnMXOxlce_LwUNhpCQ, zArg-PsglebVBJMyjxfacw, 5-48HYUc7HWv6NKfMAPHKQ, JHi4LCxdbpXthg98sQiicQ, MuaIn9h_YOAmZxHxtQXAAw, JMU8OV7YI_gCrifxb3-wuw, uQu5DtnXZZ8XVfBKldKnag, ntZbvL1jbr6Cj_mP6K14Lw"
101,3A5qOhQOj2zHWMYgWtkkGQ,"EGoCGAhJMivxr_C7H0hoKw, NbQH02mMYJ4r1RqvG2FDBA, kLi8I3QjruV-YUoauy9n_A, _HMiq7vSET4uhNScBdOJnw, bjL1PC2e9dvjBVewmoXYwQ, mnaTW8Wm0ESJXf4qqDtS9A, I1wArJIYbFl2txUL6unC6A, 6LgTc7CZlXCd1Pxq3BiVcw, xAJfM-dMPOHFH35Adgi10w, Rwzp59f3Ia-v2V8Ku0zZWQ"
102,wyNQqEbMfOgXr5rIfVr9Rg,"pKNDz1tzC5llbengNUz_7w, MqdAYfl1p_c1144i48k6jw, CdAmgWWCabZQoYNNWOKcEw, tz8VEeIOoM5Cu1NSnC2JIQ, hfP5UJGaCQBEaBx-uabkDA, 0OxNWfWooOChGVdRmCm9JQ, mnaTW8Wm0ESJXf4qqDtS9A, f_7AwdIzdiAbAlL2u--BaQ, lnC_BiucMb6YJjm392nwAQ, fY1IkBnRft1KR0O2tqu7pg"
103,lShwcacIvs5i2MYsQHPzMQ,"YPbSFZSoIMuGu2LD6WPllQ, HALtXIDS54MBLYD3VRyJ8A, Rl318hUrGlkPJhMmNNZizQ, HrKm3MNLH4ubrYdM7rD_Fw, I1wArJIYbFl2txUL6unC6A, cEX4Cw8q2ftBrbpCvInf0w, fY1IkBnRft1KR0O2tqu7pg, vVqxGrqt5ALxQjJGnntpKQ, CTYFfHq1SWFyCeJ-KyIgOQ, lnC_BiucMb6YJjm392nwAQ"
104,Ww-VExe53555lkzZAauCGQ,"LFknVw6uTIaL-MY_RqkN7g, x44o1_Dw4QsQZRtBJgwZaA, Rwzp59f3Ia-v2V8Ku0zZWQ, vVqxGrqt5ALxQjJGnntpKQ, 7LFdimtQU3yrgiKyE53klQ, ahlZC7XOKN-XJ7P4sPZrRg, hSEGyy0-i1_ZXGIRySbgcg, Z9oNUI_dlEKjhEWuG-hxPA, NbQH02mMYJ4r1RqvG2FDBA, n2CnBRKK82cWZ9a2OjS2xQ"
105,spcWkD16-UyUCdeyePYQCA,"NbQH02mMYJ4r1RqvG2FDBA, at7wfECnjgIJi5o7gL8fyQ, fY1IkBnRft1KR0O2tqu7pg, Rwzp59f3Ia-v2V8Ku0zZWQ, 5LMkTnMXOxlce_LwUNhpCQ, ADtSvzL_abKwWPM1EL2yJw, KPrdWch1680ihzVe3C-s3w, U3i7AaegudvpmDL23_wEmQ, hSEGyy0-i1_ZXGIRySbgcg, J9rMt_V1NX49rU3YUjh_7Q"
106,N7mseQyyeKdl57CEld0liw,"ZhJ59SFPifQiTW0gAddfGw, mnaTW8Wm0ESJXf4qqDtS9A, i5dxKKLe2kJ8WbPUXilPGg, 6LgTc7CZlXCd1Pxq3BiVcw, QxT3goSTkSGWqq4ecId_AQ, CdAmgWWCabZQoYNNWOKcEw, tRPHSd0ow1hsqMRxyMePeg, NbQH02mMYJ4r1RqvG2FDBA, ahlZC7XOKN-XJ7P4sPZrRg, DDd3TW3lDvQduqmw-UkrUg"
107,9qH59jbkeu8NxL1DamklHg,"Lv5GFFciSK532QIX2ZLqjg, x0Pk5Uvy0y63FSzcfmxRpQ, mnaTW8Wm0ESJXf4qqDtS9A, 71aipxvzUEEAd245w61o7A, fY1IkBnRft1KR0O2tqu7pg, CdAmgWWCabZQoYNNWOKcEw, RYMHJdm0BLBFJTnp6D4T4g, gPmD_yz_3DK6q8gmCfjpOA, ar1-XkhICdqJDJUwCluz-g, J9rMt_V1NX49rU3YUjh_7Q"
108,WqMa1BLU2sgt16wnK1CblA,"ib_206uhcdzV7lNcCpniXA, LFknVw6uTIaL-MY_RqkN7g, 7LFdimtQU3yrgiKyE53klQ, KmKkhD-97CqPvokq5JIoBA, J9rMt_V1NX49rU3YUjh_7Q, P7-GGakh0UR80xIl93t07Q, VzRMui5cpdzkqYvHaHy5dw, hSEGyy0-i1_ZXGIRySbgcg, Rwzp59f3Ia-v2V8Ku0zZWQ, dUUJ2-v8Vltv4FkUB55bog"
109,MS54OoXe9O5O05JYQm2rBA,"Lv5GFFciSK532QIX2ZLqjg, uQu5DtnXZZ8XVfBKldKnag, ko4q1Oj4iWvYSxoamlcEgw, 2FLfIQ9u3PJKg2iLhkl91A, OuU88_AEU5lo-t_XQpTyKg, ZhJ59SFPifQiTW0gAddfGw, BYwoAKKtdSeylSN7QV8oNw, 1FW7ZzIuIoRnTz_z8uznzA, bPTFBc-QY5jK2gdbPBjzYQ, 1nw-_Bm8sivTBZ7Z-uiVCA"
110,PSiioYMqJ1r0On_RijpQaA,"J9rMt_V1NX49rU3YUjh_7Q, _HMiq7vSET4uhNScBdOJnw, rAy5tizRpmTpZBg_0aTlKg, lJ5YkS5fxC8dcSK4FPtyYQ, qrXp3u2-nWkor07Vvctz9w, Rl318hUrGlkPJhMmNNZizQ, JHi4LCxdbpXthg98sQiicQ, cMZ7ZjrrnRxt2InvCxmNrA, pvgfvEwMJmtWkKBjEkGonQ, Yp3CLIf55i9sY7tVAO6a3Q"
